,ICI1,ICI2,ICI3,ICI4,ICI5
3-Nov-23, 119.41 , 93.43 , 80.33 , 58.46 , 38.82 
10-Nov-23, 119.24 , 92.25 , 79.74 , 57.78 , 38.52 
17-Nov-23,,,,,
24-Nov-23,,,,,
